SamplingPlot	locatedIn@SampledField
AF001-PA	AF001
AF001-PB	AF001
AF001-PC	AF001
AF001-PD	AF001
AF001-P1	AF001
AF001-P2	AF001
AF001-P3	AF001
AF001-P4	AF001
AF002-PA	AF002
AF002-PB	AF002
AF002-PC	AF002
AF002-PD	AF002
AF002-P1	AF002
AF002-P2	AF002
AF002-P3	AF002
AF002-P4	AF002
AF003-PA	AF003
AF003-PB	AF003
AF003-PC	AF003
AF003-PD	AF003
AF003-P1	AF003
AF003-P2	AF003
AF003-P3	AF003
AF003-P4	AF003
AF004-PA	AF004
AF004-PB	AF004
AF004-PC	AF004
AF004-PD	AF004
AF004-P1	AF004
AF004-P2	AF004
AF004-P3	AF004
AF004-P4	AF004
AF005-PA	AF005
AF005-PB	AF005
AF005-PC	AF005
AF005-PD	AF005
AF005-P1	AF005
AF005-P2	AF005
AF005-P3	AF005
AF005-P4	AF005
AF006-PA	AF006
AF006-PB	AF006
AF006-PC	AF006
AF006-PD	AF006
AF006-P1	AF006
AF006-P2	AF006
AF006-P3	AF006
AF006-P4	AF006
AF007-PA	AF007
AF007-PB	AF007
AF007-PC	AF007
AF007-PD	AF007
AF007-P1	AF007
AF007-P2	AF007
AF007-P3	AF007
AF007-P4	AF007
AF008-PA	AF008
AF008-PB	AF008
AF008-PC	AF008
AF008-PD	AF008
AF008-P1	AF008
AF008-P2	AF008
AF008-P3	AF008
AF008-P4	AF008
AF009-PA	AF009
AF009-PB	AF009
AF009-PC	AF009
AF009-PD	AF009
AF009-P1	AF009
AF009-P2	AF009
AF009-P3	AF009
AF009-P4	AF009
AF010-PA	AF010
AF010-PB	AF010
AF010-PC	AF010
AF010-PD	AF010
AF010-P1	AF010
AF010-P2	AF010
AF010-P3	AF010
AF010-P4	AF010
AF011-PA	AF011
AF011-PB	AF011
AF011-PC	AF011
AF011-PD	AF011
AF011-P1	AF011
AF011-P2	AF011
AF011-P3	AF011
AF011-P4	AF011
AF012-PA	AF012
AF012-PB	AF012
AF012-PC	AF012
AF012-PD	AF012
AF012-P1	AF012
AF012-P2	AF012
AF012-P3	AF012
AF012-P4	AF012
AF013-PA	AF013
AF013-PB	AF013
AF013-PC	AF013
AF013-PD	AF013
AF013-P1	AF013
AF013-P2	AF013
AF013-P3	AF013
AF013-P4	AF013
AF014-PA	AF014
AF014-PB	AF014
AF014-PC	AF014
AF014-PD	AF014
AF014-P1	AF014
AF014-P2	AF014
AF014-P3	AF014
AF014-P4	AF014
AF015-PA	AF015
AF015-PB	AF015
AF015-PC	AF015
AF015-PD	AF015
AF015-P1	AF015
AF015-P2	AF015
AF015-P3	AF015
AF015-P4	AF015
AF016-PA	AF016
AF016-PB	AF016
AF016-PC	AF016
AF016-PD	AF016
AF016-P1	AF016
AF016-P2	AF016
AF016-P3	AF016
AF016-P4	AF016
AF017-PA	AF017
AF017-PB	AF017
AF017-PC	AF017
AF017-PD	AF017
AF017-P1	AF017
AF017-P2	AF017
AF017-P3	AF017
AF017-P4	AF017
AF018-PA	AF018
AF018-PB	AF018
AF018-PC	AF018
AF018-PD	AF018
AF018-P1	AF018
AF018-P2	AF018
AF018-P3	AF018
AF018-P4	AF018
AF019-PA	AF019
AF019-PB	AF019
AF019-PC	AF019
AF019-PD	AF019
AF019-P1	AF019
AF019-P2	AF019
AF019-P3	AF019
AF019-P4	AF019
AF020-PA	AF020
AF020-PB	AF020
AF020-PC	AF020
AF020-PD	AF020
AF020-P1	AF020
AF020-P2	AF020
AF020-P3	AF020
AF020-P4	AF020
AF021-PA	AF021
AF021-PB	AF021
AF021-PC	AF021
AF021-PD	AF021
AF021-P1	AF021
AF021-P2	AF021
AF021-P3	AF021
AF021-P4	AF021
AF022-PA	AF022
AF022-PB	AF022
AF022-PC	AF022
AF022-PD	AF022
AF022-P1	AF022
AF022-P2	AF022
AF022-P3	AF022
AF022-P4	AF022
AF023-PA	AF023
AF023-PB	AF023
AF023-PC	AF023
AF023-PD	AF023
AF023-P1	AF023
AF023-P2	AF023
AF023-P3	AF023
AF023-P4	AF023
AF024-PA	AF024
AF024-PB	AF024
AF024-PC	AF024
AF024-PD	AF024
AF024-P1	AF024
AF024-P2	AF024
AF024-P3	AF024
AF024-P4	AF024
AF025-PA	AF025
AF025-PB	AF025
AF025-PC	AF025
AF025-PD	AF025
AF025-P1	AF025
AF025-P2	AF025
AF025-P3	AF025
AF025-P4	AF025
AF026-PA	AF026
AF026-PB	AF026
AF026-PC	AF026
AF026-PD	AF026
AF026-P1	AF026
AF026-P2	AF026
AF026-P3	AF026
AF026-P4	AF026
AF027-PA	AF027
AF027-PB	AF027
AF027-PC	AF027
AF027-PD	AF027
AF027-P1	AF027
AF027-P2	AF027
AF027-P3	AF027
AF027-P4	AF027
AF028-PA	AF028
AF028-PB	AF028
AF028-PC	AF028
AF028-PD	AF028
AF028-P1	AF028
AF028-P2	AF028
AF028-P3	AF028
AF028-P4	AF028
AF029-PA	AF029
AF029-PB	AF029
AF029-PC	AF029
AF029-PD	AF029
AF029-P1	AF029
AF029-P2	AF029
AF029-P3	AF029
AF029-P4	AF029
AF030-PA	AF030
AF030-PB	AF030
AF030-PC	AF030
AF030-PD	AF030
AF030-P1	AF030
AF030-P2	AF030
AF030-P3	AF030
AF030-P4	AF030
AF031-PA	AF031
AF031-PB	AF031
AF031-PC	AF031
AF031-PD	AF031
AF031-P1	AF031
AF031-P2	AF031
AF031-P3	AF031
AF031-P4	AF031
AF032-PA	AF032
AF032-PB	AF032
AF032-PC	AF032
AF032-PD	AF032
AF032-P1	AF032
AF032-P2	AF032
AF032-P3	AF032
AF032-P4	AF032
AF033-PA	AF033
AF033-PB	AF033
AF033-PC	AF033
AF033-PD	AF033
AF033-P1	AF033
AF033-P2	AF033
AF033-P3	AF033
AF033-P4	AF033
AF034-PA	AF034
AF034-PB	AF034
AF034-PC	AF034
AF034-PD	AF034
AF034-P1	AF034
AF034-P2	AF034
AF034-P3	AF034
AF034-P4	AF034
AF035-PA	AF035
AF035-PB	AF035
AF035-PC	AF035
AF035-PD	AF035
AF035-P1	AF035
AF035-P2	AF035
AF035-P3	AF035
AF035-P4	AF035
AF036-PA	AF036
AF036-PB	AF036
AF036-PC	AF036
AF036-PD	AF036
AF036-P1	AF036
AF036-P2	AF036
AF036-P3	AF036
AF036-P4	AF036
AF037-PA	AF037
AF037-PB	AF037
AF037-PC	AF037
AF037-PD	AF037
AF037-P1	AF037
AF037-P2	AF037
AF037-P3	AF037
AF037-P4	AF037
AF038-PA	AF038
AF038-PB	AF038
AF038-PC	AF038
AF038-PD	AF038
AF038-P1	AF038
AF038-P2	AF038
AF038-P3	AF038
AF038-P4	AF038
AF039-PA	AF039
AF039-PB	AF039
AF039-PC	AF039
AF039-PD	AF039
AF039-P1	AF039
AF039-P2	AF039
AF039-P3	AF039
AF039-P4	AF039
AF040-PA	AF040
AF040-PB	AF040
AF040-PC	AF040
AF040-PD	AF040
AF040-P1	AF040
AF040-P2	AF040
AF040-P3	AF040
AF040-P4	AF040
AF041-PA	AF041
AF041-PB	AF041
AF041-PC	AF041
AF041-PD	AF041
AF041-P1	AF041
AF041-P2	AF041
AF041-P3	AF041
AF041-P4	AF041
AF042-PA	AF042
AF042-PB	AF042
AF042-PC	AF042
AF042-PD	AF042
AF042-P1	AF042
AF042-P2	AF042
AF042-P3	AF042
AF042-P4	AF042
AF043-PA	AF043
AF043-PB	AF043
AF043-PC	AF043
AF043-PD	AF043
AF043-P1	AF043
AF043-P2	AF043
AF043-P3	AF043
AF043-P4	AF043
AF044-PA	AF044
AF044-PB	AF044
AF044-PC	AF044
AF044-PD	AF044
AF044-P1	AF044
AF044-P2	AF044
AF044-P3	AF044
AF044-P4	AF044
AF045-PA	AF045
AF045-PB	AF045
AF045-PC	AF045
AF045-PD	AF045
AF045-P1	AF045
AF045-P2	AF045
AF045-P3	AF045
AF045-P4	AF045
AF046-PA	AF046
AF046-PB	AF046
AF046-PC	AF046
AF046-PD	AF046
AF046-P1	AF046
AF046-P2	AF046
AF046-P3	AF046
AF046-P4	AF046
AF047-PA	AF047
AF047-PB	AF047
AF047-PC	AF047
AF047-PD	AF047
AF047-P1	AF047
AF047-P2	AF047
AF047-P3	AF047
AF047-P4	AF047
AF048-PA	AF048
AF048-PB	AF048
AF048-PC	AF048
AF048-PD	AF048
AF048-P1	AF048
AF048-P2	AF048
AF048-P3	AF048
AF048-P4	AF048
AF100-PA	AF100
AF100-PB	AF100
AF100-PC	AF100
AF100-PD	AF100
AF100-P1	AF100
AF100-P2	AF100
AF100-P3	AF100
AF100-P4	AF100
AF101-PA	AF101
AF101-PB	AF101
AF101-PC	AF101
AF101-PD	AF101
AF101-P1	AF101
AF101-P2	AF101
AF101-P3	AF101
AF101-P4	AF101
AF102-PA	AF102
AF102-PB	AF102
AF102-PC	AF102
AF102-PD	AF102
AF102-P1	AF102
AF102-P2	AF102
AF102-P3	AF102
AF102-P4	AF102
AF103-PA	AF103
AF103-PB	AF103
AF103-PC	AF103
AF103-PD	AF103
AF103-P1	AF103
AF103-P2	AF103
AF103-P3	AF103
AF103-P4	AF103
AF104-PA	AF104
AF104-PB	AF104
AF104-PC	AF104
AF104-PD	AF104
AF104-P1	AF104
AF104-P2	AF104
AF104-P3	AF104
AF104-P4	AF104
AF105-PA	AF105
AF105-PB	AF105
AF105-PC	AF105
AF105-PD	AF105
AF105-P1	AF105
AF105-P2	AF105
AF105-P3	AF105
AF105-P4	AF105
AF106-PA	AF106
AF106-PB	AF106
AF106-PC	AF106
AF106-PD	AF106
AF106-P1	AF106
AF106-P2	AF106
AF106-P3	AF106
AF106-P4	AF106
AF107-PA	AF107
AF107-PB	AF107
AF107-PC	AF107
AF107-PD	AF107
AF107-P1	AF107
AF107-P2	AF107
AF107-P3	AF107
AF107-P4	AF107
AF108-PA	AF108
AF108-PB	AF108
AF108-PC	AF108
AF108-PD	AF108
AF108-P1	AF108
AF108-P2	AF108
AF108-P3	AF108
AF108-P4	AF108
AF109-PA	AF109
AF109-PB	AF109
AF109-PC	AF109
AF109-PD	AF109
AF109-P1	AF109
AF109-P2	AF109
AF109-P3	AF109
AF109-P4	AF109
AF110-PA	AF110
AF110-PB	AF110
AF110-PC	AF110
AF110-PD	AF110
AF110-P1	AF110
AF110-P2	AF110
AF110-P3	AF110
AF110-P4	AF110
AF111-PA	AF111
AF111-PB	AF111
AF111-PC	AF111
AF111-PD	AF111
AF111-P1	AF111
AF111-P2	AF111
AF111-P3	AF111
AF111-P4	AF111
AF112-PA	AF112
AF112-PB	AF112
AF112-PC	AF112
AF112-PD	AF112
AF112-P1	AF112
AF112-P2	AF112
AF112-P3	AF112
AF112-P4	AF112
AF113-PA	AF113
AF113-PB	AF113
AF113-PC	AF113
AF113-PD	AF113
AF113-P1	AF113
AF113-P2	AF113
AF113-P3	AF113
AF113-P4	AF113
AF114-PA	AF114
AF114-PB	AF114
AF114-PC	AF114
AF114-PD	AF114
AF114-P1	AF114
AF114-P2	AF114
AF114-P3	AF114
AF114-P4	AF114
AF115-PA	AF115
AF115-PB	AF115
AF115-PC	AF115
AF115-PD	AF115
AF115-P1	AF115
AF115-P2	AF115
AF115-P3	AF115
AF115-P4	AF115
AF116-PA	AF116
AF116-PB	AF116
AF116-PC	AF116
AF116-PD	AF116
AF116-P1	AF116
AF116-P2	AF116
AF116-P3	AF116
AF116-P4	AF116
AF117-PA	AF117
AF117-PB	AF117
AF117-PC	AF117
AF117-PD	AF117
AF117-P1	AF117
AF117-P2	AF117
AF117-P3	AF117
AF117-P4	AF117
AF118-PA	AF118
AF118-PB	AF118
AF118-PC	AF118
AF118-PD	AF118
AF118-P1	AF118
AF118-P2	AF118
AF118-P3	AF118
AF118-P4	AF118
AF119-PA	AF119
AF119-PB	AF119
AF119-PC	AF119
AF119-PD	AF119
AF119-P1	AF119
AF119-P2	AF119
AF119-P3	AF119
AF119-P4	AF119
AF120-PA	AF120
AF120-PB	AF120
AF120-PC	AF120
AF120-PD	AF120
AF120-P1	AF120
AF120-P2	AF120
AF120-P3	AF120
AF120-P4	AF120
AF121-PA	AF121
AF121-PB	AF121
AF121-PC	AF121
AF121-PD	AF121
AF121-P1	AF121
AF121-P2	AF121
AF121-P3	AF121
AF121-P4	AF121
AF122-PA	AF122
AF122-PB	AF122
AF122-PC	AF122
AF122-PD	AF122
AF122-P1	AF122
AF122-P2	AF122
AF122-P3	AF122
AF122-P4	AF122
AF123-PA	AF123
AF123-PB	AF123
AF123-PC	AF123
AF123-PD	AF123
AF123-P1	AF123
AF123-P2	AF123
AF123-P3	AF123
AF123-P4	AF123
AF124-PA	AF124
AF124-PB	AF124
AF124-PC	AF124
AF124-PD	AF124
AF124-P1	AF124
AF124-P2	AF124
AF124-P3	AF124
AF124-P4	AF124
AF125-PA	AF125
AF125-PB	AF125
AF125-PC	AF125
AF125-PD	AF125
AF125-P1	AF125
AF125-P2	AF125
AF125-P3	AF125
AF125-P4	AF125
AF126-PA	AF126
AF126-PB	AF126
AF126-PC	AF126
AF126-PD	AF126
AF126-P1	AF126
AF126-P2	AF126
AF126-P3	AF126
AF126-P4	AF126
AF127-PA	AF127
AF127-PB	AF127
AF127-PC	AF127
AF127-PD	AF127
AF127-P1	AF127
AF127-P2	AF127
AF127-P3	AF127
AF127-P4	AF127
AF128-PA	AF128
AF128-PB	AF128
AF128-PC	AF128
AF128-PD	AF128
AF128-P1	AF128
AF128-P2	AF128
AF128-P3	AF128
AF128-P4	AF128
AF129-PA	AF129
AF129-PB	AF129
AF129-PC	AF129
AF129-PD	AF129
AF129-P1	AF129
AF129-P2	AF129
AF129-P3	AF129
AF129-P4	AF129
AF130-PA	AF130
AF130-PB	AF130
AF130-PC	AF130
AF130-PD	AF130
AF130-P1	AF130
AF130-P2	AF130
AF130-P3	AF130
AF130-P4	AF130
AF131-PA	AF131
AF131-PB	AF131
AF131-PC	AF131
AF131-PD	AF131
AF131-P1	AF131
AF131-P2	AF131
AF131-P3	AF131
AF131-P4	AF131
AF132-PA	AF132
AF132-PB	AF132
AF132-PC	AF132
AF132-PD	AF132
AF132-P1	AF132
AF132-P2	AF132
AF132-P3	AF132
AF132-P4	AF132
AF133-PA	AF133
AF133-PB	AF133
AF133-PC	AF133
AF133-PD	AF133
AF133-P1	AF133
AF133-P2	AF133
AF133-P3	AF133
AF133-P4	AF133
AF134-PA	AF134
AF134-PB	AF134
AF134-PC	AF134
AF134-PD	AF134
AF134-P1	AF134
AF134-P2	AF134
AF134-P3	AF134
AF134-P4	AF134
AF135-PA	AF135
AF135-PB	AF135
AF135-PC	AF135
AF135-PD	AF135
AF135-P1	AF135
AF135-P2	AF135
AF135-P3	AF135
AF135-P4	AF135
AF136-PA	AF136
AF136-PB	AF136
AF136-PC	AF136
AF136-PD	AF136
AF136-P1	AF136
AF136-P2	AF136
AF136-P3	AF136
AF136-P4	AF136
AF137-PA	AF137
AF137-PB	AF137
AF137-PC	AF137
AF137-PD	AF137
AF137-P1	AF137
AF137-P2	AF137
AF137-P3	AF137
AF137-P4	AF137
AF138-PA	AF138
AF138-PB	AF138
AF138-PC	AF138
AF138-PD	AF138
AF138-P1	AF138
AF138-P2	AF138
AF138-P3	AF138
AF138-P4	AF138
AF139-PA	AF139
AF139-PB	AF139
AF139-PC	AF139
AF139-PD	AF139
AF139-P1	AF139
AF139-P2	AF139
AF139-P3	AF139
AF139-P4	AF139
AF140-PA	AF140
AF140-PB	AF140
AF140-PC	AF140
AF140-PD	AF140
AF140-P1	AF140
AF140-P2	AF140
AF140-P3	AF140
AF140-P4	AF140
AF141-PA	AF141
AF141-PB	AF141
AF141-PC	AF141
AF141-PD	AF141
AF141-P1	AF141
AF141-P2	AF141
AF141-P3	AF141
AF141-P4	AF141
AF142-PA	AF142
AF142-PB	AF142
AF142-PC	AF142
AF142-PD	AF142
AF142-P1	AF142
AF142-P2	AF142
AF142-P3	AF142
AF142-P4	AF142
AF143-PA	AF143
AF143-PB	AF143
AF143-PC	AF143
AF143-PD	AF143
AF143-P1	AF143
AF143-P2	AF143
AF143-P3	AF143
AF143-P4	AF143
AF144-PA	AF144
AF144-PB	AF144
AF144-PC	AF144
AF144-PD	AF144
AF144-P1	AF144
AF144-P2	AF144
AF144-P3	AF144
AF144-P4	AF144
AF145-PA	AF145
AF145-PB	AF145
AF145-PC	AF145
AF145-PD	AF145
AF145-P1	AF145
AF145-P2	AF145
AF145-P3	AF145
AF145-P4	AF145
AF146-PA	AF146
AF146-PB	AF146
AF146-PC	AF146
AF146-PD	AF146
AF146-P1	AF146
AF146-P2	AF146
AF146-P3	AF146
AF146-P4	AF146
AF147-PA	AF147
AF147-PB	AF147
AF147-PC	AF147
AF147-PD	AF147
AF147-P1	AF147
AF147-P2	AF147
AF147-P3	AF147
AF147-P4	AF147
AF148-PA	AF148
AF148-PB	AF148
AF148-PC	AF148
AF148-PD	AF148
AF148-P1	AF148
AF148-P2	AF148
AF148-P3	AF148
AF148-P4	AF148
AF149-PA	AF149
AF149-PB	AF149
AF149-PC	AF149
AF149-PD	AF149
AF149-P1	AF149
AF149-P2	AF149
AF149-P3	AF149
AF149-P4	AF149
AF150-PA	AF150
AF150-PB	AF150
AF150-PC	AF150
AF150-PD	AF150
AF150-P1	AF150
AF150-P2	AF150
AF150-P3	AF150
AF150-P4	AF150
AF151-PA	AF151
AF151-PB	AF151
AF151-PC	AF151
AF151-PD	AF151
AF151-P1	AF151
AF151-P2	AF151
